Tempo,100
45,33,1168
57,33,1170
72,35,1176
72,0,1414
72,32,1812
57,0,1860
72,0,2058
57,31,2129
72,39,2445
45,0,2520
57,0,2553
45,40,2716
45,0,2823
76,39,3004
72,0,3040
76,0,3200
41,33,3593
81,37,3594
53,32,3597
81,0,3855
81,35,4192
53,0,4209
53,36,4459
81,0,4463
81,49,4784
41,0,4787
53,0,4904
41,36,5058
41,0,5249
53,46,5350
79,53,5373
81,0,5380
53,0,5417
79,0,5835
48,36,5973
36,35,5978
76,39,5992
76,0,6253
76,32,6583
76,0,6679
76,40,7184
48,0,7193
36,0,7271
36,36,7460
36,0,7767
48,35,7782
76,0,7799
72,41,7816
48,0,7894
36,41,8096
36,0,8135
72,0,8413
71,37,8426
43,43,8428
55,37,8433
71,0,8749
71,36,9004
71,0,9196
55,0,9507
43,0,9581
71,39,9587
43,37,9875
43,0,10176
71,0,10195
55,33,10207
72,53,10208
55,0,10300
43,41,10496
43,0,10572
72,0,10785
57,37,10808
45,37,10814
69,50,10818
69,0,11101
72,36,11397
57,0,11501
72,0,11610
57,32,11698
72,48,11987
45,0,11995
57,0,12072
45,39,12242
45,0,12425
72,0,12524
76,55,12544
57,43,12551
57,0,12659
45,36,12832
45,0,12907
76,0,13117
81,46,13159
41,35,13179
53,35,13190
81,0,13459
53,0,13534
81,43,13774
81,0,13929
41,0,14027
53,23,14035
81,43,14370
53,0,14415
41,29,14668
41,0,14855
81,0,14912
53,36,14942
79,46,14958
53,0,15019
79,0,15337
48,36,15572
36,35,15587
76,36,15592
76,0,15849
48,0,16046
76,31,16145
76,0,16392
48,35,16444
76,41,16768
36,0,16793
48,0,16949
36,33,17057
36,0,17312
48,35,17345
76,0,17346
72,37,17369
48,0,17428
72,0,17923
43,33,17925
55,32,17935
71,37,17938
71,0,18984
55,0,19274
43,0,19662
45,36,20409
52,32,20710
72,40,20712
45,0,20752
72,0,20800
57,31,20990
72,46,21005
52,0,21025
57,0,21214
72,0,21245
59,35,21274
69,40,21290
59,0,21391
69,0,21563
72,42,21577
60,35,21579
60,0,21791
72,0,21851
69,45,21899
72,39,22197
57,35,22203
69,0,22218
57,0,22283
74,44,22486
72,0,22514
74,0,22752
76,42,22767
41,35,22781
48,32,23062
72,36,23069
76,0,23082
41,0,23090
72,0,23157
53,35,23359
72,47,23361
48,0,23366
72,0,23443
53,0,23478
55,37,23628
72,43,23650
55,0,23713
72,0,23916
67,45,23960
57,26,23965
57,0,24106
67,0,24235
76,41,24260
53,36,24564
53,0,24638
36,33,25198
43,36,25469
36,0,25511
43,0,25778
48,49,25811
48,0,25991
50,47,26086
76,0,26317
50,0,26320
52,49,26379
72,46,26644
72,0,26723
52,0,26856
72,56,26948
55,44,26955
55,0,27036
74,55,27246
72,0,27253
74,0,27515
43,42,27559
71,59,27562
50,43,27876
43,0,27892
71,0,27898
55,36,28156
50,0,28193
55,0,28297
57,39,28428
71,47,28442
57,0,28515
71,0,28518
59,45,28754
71,50,28761
59,0,28937
71,0,29012
69,57,29051
55,39,29353
69,0,29354
72,54,29358
55,0,29406
45,41,29971
72,0,29996
52,36,30271
72,51,30285
45,0,30288
72,0,30361
52,0,30503
57,48,30583
72,51,30590
57,0,30685
72,0,30831
59,46,30875
69,56,30878
59,0,30957
69,0,31148
72,44,31181
60,40,31190
60,0,31295
72,0,31322
69,50,31355
57,44,31485
57,0,31582
72,47,31640
69,0,31654
59,46,31794
59,0,31907
74,53,31945
72,0,31958
57,41,32083
57,0,32148
76,47,32227
74,0,32232
76,0,32311
41,44,32395
76,58,32397
48,37,32681
72,49,32683
41,0,32701
76,0,32724
72,0,32775
48,0,32919
53,35,32980
72,48,32981
72,0,33067
53,0,33068
72,50,33271
55,41,33282
55,0,33341
72,0,33386
67,44,33578
57,43,33583
57,0,33695
67,0,33886
76,50,33962
53,42,34179
53,0,34251
55,53,34493
55,0,34549
36,39,34774
36,0,35047
43,41,35061
43,0,35322
48,52,35386
48,0,35466
50,45,35681
50,0,35854
76,0,35865
52,49,35978
72,47,36241
72,0,36317
52,0,36487
55,44,36539
72,52,36542
55,0,36602
72,0,36835
74,52,36865
74,0,37164
43,42,37180
71,55,37191
71,0,37373
50,36,37452
71,50,37466
43,0,37492
71,0,37551
55,40,37739
71,50,37760
71,0,37829
55,0,37990
57,37,38041
71,51,38047
71,0,38113
57,0,38143
59,37,38372
71,49,38373
59,0,38483
71,0,38521
76,36,38645
50,0,38700
76,0,38732
55,42,38932
76,57,38943
55,0,39002
76,0,39039
76,51,39239
76,0,39324
76,50,39553
45,46,39555
76,0,39789
45,0,39856
52,30,39880
57,30,40189
76,38,40192
76,0,40326
57,0,40419
60,31,40448
60,0,40579
76,46,40792
52,0,40909
76,0,40962
79,42,41342
57,33,41362
57,0,41410
79,0,41600
81,50,41944
41,40,41946
81,0,42234
48,35,42276
41,0,42285
48,0,42557
53,29,42563
81,56,42579
53,0,42758
81,0,42847
55,38,42857
55,0,42974
81,61,43173
57,40,43190
57,0,43396
81,0,43552
53,45,43793
79,49,43804
53,0,43868
79,0,44150
76,59,44413
36,44,44419
76,0,44695
43,44,44702
36,0,44721
43,0,44982
48,44,45007
76,62,45016
48,0,45161
50,38,45276
76,0,45310
50,0,45533
52,49,45573
76,61,45587
76,0,46144
52,0,46155
72,53,46190
55,36,46198
55,0,46253
72,0,46719
43,41,46744
71,52,46754
50,33,47055
43,0,47078
71,0,47087
55,27,47374
71,44,47377
71,0,47622
55,0,47632
57,32,47637
57,0,47757
71,40,47978
59,36,47997
59,0,48252
50,0,48549
71,0,48626
45,38,49167
72,46,49188
72,0,49454
45,0,49487
52,33,49491
52,0,49770
57,33,49791
72,52,49792
57,0,49991
72,0,50014
59,41,50081
59,0,50178
72,57,50387
60,41,50399
60,0,50528
57,44,50674
72,0,50685
57,0,50954
76,57,51018
59,47,51025
59,0,51140
57,40,51310
57,0,51362
81,52,51591
76,0,51596
41,24,51692
48,36,51903
81,0,51929
41,0,51959
48,0,52185
53,35,52220
81,49,52227
53,0,52412
55,39,52504
81,0,52510
55,0,52602
81,48,52787
57,43,52801
57,0,52929
53,39,53091
53,0,53308
81,0,53382
55,46,53396
79,60,53401
55,0,53500
53,48,53683
53,0,53750
79,0,53982
36,48,53986
76,50,53991
43,41,54280
36,0,54311
76,0,54348
43,0,54561
48,40,54585
76,45,54597
48,0,54700
43,35,54876
76,0,54889
43,0,55152
76,49,55195
52,35,55208
52,0,55307
43,41,55482
43,0,55725
76,0,55776
72,45,55783
48,41,55785
48,0,55864
43,43,56076
43,0,56151
72,0,56363
43,37,56366
71,48,56378
50,33,56680
43,0,56704
55,35,56955
50,0,56957
55,0,57109
50,33,57259
59,38,57609
71,0,57714
59,0,57861
76,40,57879
76,0,57937
50,0,58030
55,35,58166
76,37,58200
55,0,58240
76,0,58265
45,41,58786
72,46,58791
76,42,58794
72,0,59027
76,0,59042
52,32,59095
45,0,59100
52,0,59380
57,32,59394
76,47,59397
76,0,59578
57,0,59588
59,39,59652
59,0,59752
60,36,59977
76,46,59979
60,0,60149
76,0,60392
57,38,60548
79,41,60573
57,0,60608
79,0,60959
81,47,61145
41,38,61159
48,33,61460
41,0,61461
81,0,61501
53,35,61766
81,50,61776
48,0,61811
53,0,61989
81,0,62046
55,30,62070
55,0,62122
81,44,62346
57,43,62358
57,0,62481
81,0,62822
53,37,62946
79,40,62954
53,0,63017
79,0,63168
76,41,63172
76,0,63231
36,32,63600
76,44,63611
43,33,63859
36,0,63871
76,0,63910
43,0,64161
48,29,64171
76,45,64178
48,0,64295
76,0,64382
50,33,64449
50,0,64670
52,37,64740
76,46,64780
76,0,64911
72,48,64929
52,0,65079
72,0,65436
43,40,65965
71,49,65972
71,0,66272
50,30,66297
43,0,66322
55,31,66579
71,37,66580
71,0,66743
57,35,66829
55,0,66849
57,0,66969
71,41,67186
59,27,67225
59,0,67512
50,0,67741
71,0,68217
45,33,68332
52,33,68647
72,44,68648
45,0,68675
72,0,68717
52,0,68904
57,36,68959
72,50,68966
57,0,69057
72,0,69206
69,50,69252
59,47,69254
59,0,69308
69,0,69522
72,50,69569
60,46,69580
60,0,69715
72,0,69880
72,59,70187
57,39,70195
57,0,70245
72,0,70467
74,57,70483
74,0,70681
76,51,70792
41,38,70800
48,36,71075
41,0,71084
76,0,71172
48,0,71279
72,47,71325
53,36,71344
72,0,71416
53,0,71456
55,36,71645
72,51,71649
55,0,71810
72,0,71906
67,52,71961
57,41,71965
67,0,72190
76,57,72266
57,0,72411
60,47,72584
60,0,72646
36,57,73162
43,42,73462
36,0,73462
48,37,73616
43,0,73650
48,0,73752
50,53,73784
50,0,73888
43,46,74087
43,0,74290
76,0,74331
52,46,74383
52,0,74481
72,52,74681
43,48,74689
72,0,74748
43,0,74925
72,62,74999
48,42,75001
48,0,75073
72,0,75155
74,51,75168
43,46,75304
43,0,75367
74,0,75430
71,53,75451
71,0,75522
43,40,75588
71,62,75610
43,0,75895
50,35,75904
71,0,75915
55,38,76057
50,0,76065
55,0,76187
57,31,76228
71,57,76231
57,0,76315
71,0,76517
50,36,76522
50,0,76752
71,49,76802
59,36,76817
59,0,76905
71,0,77070
69,48,77086
50,39,77088
50,0,77297
69,0,77374
55,37,77378
72,52,77390
55,0,77475
50,40,77664
50,0,77723
45,50,77969
52,31,78258
45,0,78299
57,33,78416
52,0,78454
57,0,78558
59,29,78582
59,0,78678
72,0,78787
52,36,78894
52,0,79098
60,44,79179
60,0,79296
72,55,79446
52,37,79460
72,0,79516
52,0,79701
57,40,79754
72,61,79764
57,0,79857
72,0,80015
52,48,80044
74,57,80054
52,0,80104
74,0,80338
76,57,80355
41,51,80364
76,0,80627
48,43,80631
72,51,80643
41,0,80658
72,0,80724
48,0,80851
53,41,80927
72,68,80948
72,0,81031
53,0,81040
55,51,81247
72,67,81254
55,0,81337
72,0,81365
57,49,81564
67,49,81570
57,0,81704
67,0,81910
79,73,81967
53,46,82136
53,0,82213
48,50,82397
48,0,82445
36,50,82688
43,35,82993
36,0,83006
48,40,83152
43,0,83188
48,0,83290
50,53,83329
50,0,83446
43,46,83627
79,0,83710
43,0,83841
52,42,83959
52,0,84063
72,49,84239
43,42,84242
72,0,84314
43,0,84474
72,56,84560
48,46,84562
48,0,84641
72,0,84835
43,47,84854
74,51,84856
43,0,84919
74,0,85144
71,59,85174
43,48,85183
50,35,85491
43,0,85492
50,0,85747
55,41,85798
55,0,85899
50,32,86110
59,41,86421
59,0,86862
50,0,86929
71,0,87000
45,28,87535
57,27,87550
72,33,87569
72,0,87812
57,0,88110
72,35,88159
72,0,88298
57,26,88470
45,0,88562
57,0,88750
72,32,88800
45,37,89021
45,0,89096
72,0,89323
76,43,89370
76,0,89435
53,26,89949
41,31,89956
81,37,89960
81,0,90238
53,0,90373
81,37,90544
81,0,90741
41,0,90822
53,24,90828
53,0,91102
81,43,91127
41,32,91467
41,0,91542
79,48,91791
81,0,91859
79,0,91875
76,36,92337
48,35,92343
36,32,92346
76,0,92615
48,0,92752
76,36,92971
76,0,93100
48,29,93222
36,0,93384
76,47,93550
48,0,93608
36,38,93834
36,0,94059
48,39,94110
76,0,94111
72,46,94138
48,0,94191
72,0,94717
55,35,94739
43,31,94742
71,40,94760
55,0,95188
71,0,95299
74,33,95372
74,0,95472
55,33,95633
74,48,95976
43,0,96096
55,0,96111
74,0,96317
43,32,96552
71,41,96568
43,0,96654
71,0,96681
45,35,97146
72,37,97154
57,33,97162
72,0,97444
57,0,97616
72,33,97784
57,33,98064
72,0,98065
72,41,98384
45,0,98453
57,0,98506
45,36,98640
45,0,98895
57,37,98961
76,50,98975
72,0,99025
57,0,99062
45,41,99242
45,0,99316
76,0,99559
81,38,99564
53,36,99577
41,32,99584
81,0,99910
53,0,100063
81,41,100179
53,32,100450
81,0,100458
81,46,100768
41,0,100788
53,0,100884
41,46,101050
41,0,101306
53,46,101344
79,61,101356
81,0,101389
53,0,101446
41,35,101637
41,0,101681
48,26,101964
76,51,101966
36,30,101969
79,0,101973
76,0,102301
48,0,102464
76,38,102609
76,0,102836
48,33,102859
76,40,103187
36,0,103211
48,0,103263
76,0,103371
36,29,103765
72,33,103773
36,0,103834
72,0,103860
71,46,104422
55,36,104424
43,35,104430
55,0,104897
43,0,104903
71,0,105138
